,template,time_wait,input_data,sf,paylen,impl_head,has_crc,cr,frames,time,data_rate,load_1min,load_5min,load_15min,num_right,num_total,num_dec,num_per,threshold,noise,avg_snr,avg_signal_power,avg_noise_power
0,frame_detector,200,PKdhtXMmr18n2L9K88eMlGn7CcctT9RwKSB1FebW397VI5uG1yhc3uavuaOb9vyJ,9,64,True,False,2,10,3.6489980220794678,175.39061301964776,2.4,1.46,1.4,10,10,10,100.0,10,0,24.433214909909907,736.2351408392859,2.6403707499999998
1,frame_detector,200,PKdhtXMmr18n2L9K88eMlGn7CcctT9RwKSB1FebW397VI5uG1yhc3uavuaOb9vyJ,9,64,True,False,2,10,3.65655779838562,175.02800045511702,2.4,1.46,1.4,10,10,10,100.0,35,0,24.394596173913026,736.0146793763441,2.6590842580645164
2,frame_detector,200,PKdhtXMmr18n2L9K88eMlGn7CcctT9RwKSB1FebW397VI5uG1yhc3uavuaOb9vyJ,9,64,True,False,2,10,3.6561522483825684,175.0474150202928,2.37,1.47,1.4,11,10,11,100.0,60,0,24.398201686868667,736.11084602,2.6593814100000004
3,frame_detector,200,PKdhtXMmr18n2L9K88eMlGn7CcctT9RwKSB1FebW397VI5uG1yhc3uavuaOb9vyJ,9,64,True,False,2,10,3.618359088897705,176.8757561856497,2.26,1.46,1.4,10,10,10,100.0,85,0,24.42256902173911,736.012774827957,2.642146720430108
4,frame_detector,200,PKdhtXMmr18n2L9K88eMlGn7CcctT9RwKSB1FebW397VI5uG1yhc3uavuaOb9vyJ,9,64,True,False,2,10,3.663604974746704,174.6913230033073,2.24,1.47,1.4,10,10,10,100.0,10,0.5,18.188309979591832,740.3820346428568,11.235001448979586
5,frame_detector,200,PKdhtXMmr18n2L9K88eMlGn7CcctT9RwKSB1FebW397VI5uG1yhc3uavuaOb9vyJ,9,64,True,False,2,10,4.035061359405518,158.6097317970626,2.24,1.47,1.4,10,10,10,100.0,35,0.5,18.188031244680857,740.3318572446806,11.23490168085106
6,frame_detector,200,PKdhtXMmr18n2L9K88eMlGn7CcctT9RwKSB1FebW397VI5uG1yhc3uavuaOb9vyJ,9,64,True,False,2,10,3.6244430541992188,176.5788537520287,2.22,1.48,1.41,10,10,10,100.0,60,0.5,18.187713519230766,740.454120932692,11.237718999999997
7,frame_detector,200,PKdhtXMmr18n2L9K88eMlGn7CcctT9RwKSB1FebW397VI5uG1yhc3uavuaOb9vyJ,9,64,True,False,2,10,4.096738815307617,156.2218215153517,2.44,1.54,1.43,10,10,10,100.0,85,0.5,18.18631225,740.3191674565214,11.239129304347824
8,frame_detector,200,PKdhtXMmr18n2L9K88eMlGn7CcctT9RwKSB1FebW397VI5uG1yhc3uavuaOb9vyJ,9,64,True,False,2,10,3.622713804244995,176.66314110986792,2.41,1.54,1.43,11,10,11,100.0,10,1.0,15.482864099999997,744.7460015700002,21.071683650000015
9,frame_detector,200,PKdhtXMmr18n2L9K88eMlGn7CcctT9RwKSB1FebW397VI5uG1yhc3uavuaOb9vyJ,9,64,True,False,2,10,3.6206533908843994,176.76367520053344,2.41,1.54,1.43,10,10,10,100.0,35,1.0,15.48344498198198,744.8638844774775,21.072308153153163
