,template,run,mean,source_data,bw,sf,paylen,impl_head,has_crc,cr,frames,frame_period,num_right,num_total,num_dec,time
0,lora_sim_blocks,20,200,PKdhtXMmr18n2L9K88eMlGn7CcctT9RwKSB1FebW397VI5uG1yhc3uavuaOb9vyJ,250000,12,64,True,False,4,10,400,10,10,10,19.3445205688477
1,lora_sim_blocks,21,200,PKdhtXMmr18n2L9K88eMlGn7CcctT9RwKSB1FebW397VI5uG1yhc3uavuaOb9vyJ,250000,12,64,True,False,4,10,500,10,10,10,19.2325325012207
2,lora_sim_chain,1,200,PKdhtXMmr18n2L9K88eMlGn7CcctT9RwKSB1FebW397VI5uG1yhc3uavuaOb9vyJ,250000,12,64,True,False,4,10,400,10,10,10,19.2228529453278
3,lora_sim_chain,2,200,PKdhtXMmr18n2L9K88eMlGn7CcctT9RwKSB1FebW397VI5uG1yhc3uavuaOb9vyJ,250000,12,64,True,False,4,10,500,10,10,10,19.211333990097
4,lora_sim_blocks,16,200,PKdhtXMmr18n2L9K88eMlGn7CcctT9RwKSB1FebW397VI5uG1yhc3uavuaOb9vyJ,250000,12,64,True,False,4,10,400,10,10,10,19.2104301452637
5,lora_sim_blocks,12,200,PKdhtXMmr18n2L9K88eMlGn7CcctT9RwKSB1FebW397VI5uG1yhc3uavuaOb9vyJ,250000,12,64,True,False,4,10,400,10,10,10,19.1776475906372
6,lora_sim_blocks,4,200,PKdhtXMmr18n2L9K88eMlGn7CcctT9RwKSB1FebW397VI5uG1yhc3uavuaOb9vyJ,250000,12,64,True,False,4,10,300,10,10,10,19.1770021915436
7,lora_sim_blocks,19,200,PKdhtXMmr18n2L9K88eMlGn7CcctT9RwKSB1FebW397VI5uG1yhc3uavuaOb9vyJ,250000,12,64,True,False,4,10,400,10,10,10,19.1681542396545
8,lora_sim_blocks,18,200,PKdhtXMmr18n2L9K88eMlGn7CcctT9RwKSB1FebW397VI5uG1yhc3uavuaOb9vyJ,250000,12,64,True,False,4,10,400,10,10,10,19.1496942043304
9,lora_sim_blocks,22,200,PKdhtXMmr18n2L9K88eMlGn7CcctT9RwKSB1FebW397VI5uG1yhc3uavuaOb9vyJ,250000,12,64,True,False,4,10,400,10,10,10,19.1425273418427
10,lora_sim_chain,15,200,PKdhtXMmr18n2L9K88eMlGn7CcctT9RwKSB1FebW397VI5uG1yhc3uavuaOb9vyJ,250000,12,64,True,False,4,10,300,10,10,10,19.1366710662842
11,lora_sim_chain,5,200,PKdhtXMmr18n2L9K88eMlGn7CcctT9RwKSB1FebW397VI5uG1yhc3uavuaOb9vyJ,250000,12,64,True,False,4,10,500,10,10,10,19.1260948181152
12,lora_sim_blocks,10,200,PKdhtXMmr18n2L9K88eMlGn7CcctT9RwKSB1FebW397VI5uG1yhc3uavuaOb9vyJ,250000,12,64,True,False,4,10,300,10,10,10,19.1204257011414
13,lora_sim_blocks,8,200,PKdhtXMmr18n2L9K88eMlGn7CcctT9RwKSB1FebW397VI5uG1yhc3uavuaOb9vyJ,250000,12,64,True,False,4,10,300,10,10,10,19.1136362552643
14,lora_sim_chain,6,200,PKdhtXMmr18n2L9K88eMlGn7CcctT9RwKSB1FebW397VI5uG1yhc3uavuaOb9vyJ,250000,12,64,True,False,4,10,400,10,10,10,19.109297990799
15,lora_sim_blocks,22,200,PKdhtXMmr18n2L9K88eMlGn7CcctT9RwKSB1FebW397VI5uG1yhc3uavuaOb9vyJ,250000,12,64,True,False,4,10,500,10,10,10,19.1092810630798
16,lora_sim_blocks,3,200,PKdhtXMmr18n2L9K88eMlGn7CcctT9RwKSB1FebW397VI5uG1yhc3uavuaOb9vyJ,250000,12,64,True,False,4,10,300,10,10,10,19.1075513362885
17,lora_sim_blocks,3,200,PKdhtXMmr18n2L9K88eMlGn7CcctT9RwKSB1FebW397VI5uG1yhc3uavuaOb9vyJ,250000,12,64,True,False,4,10,500,10,10,10,19.1071996688843
18,lora_sim_chain,19,200,PKdhtXMmr18n2L9K88eMlGn7CcctT9RwKSB1FebW397VI5uG1yhc3uavuaOb9vyJ,250000,12,64,True,False,4,10,500,10,10,10,19.1031446456909
19,lora_sim_blocks,5,200,PKdhtXMmr18n2L9K88eMlGn7CcctT9RwKSB1FebW397VI5uG1yhc3uavuaOb9vyJ,250000,12,64,True,False,4,10,300,10,10,10,19.1019563674927
20,lora_sim_chain,16,200,PKdhtXMmr18n2L9K88eMlGn7CcctT9RwKSB1FebW397VI5uG1yhc3uavuaOb9vyJ,250000,12,64,True,False,4,10,300,10,10,10,19.101624250412
21,lora_sim_chain,19,200,PKdhtXMmr18n2L9K88eMlGn7CcctT9RwKSB1FebW397VI5uG1yhc3uavuaOb9vyJ,250000,12,64,True,False,4,10,400,10,10,10,19.1009237766266
22,lora_sim_chain,6,200,PKdhtXMmr18n2L9K88eMlGn7CcctT9RwKSB1FebW397VI5uG1yhc3uavuaOb9vyJ,250000,12,64,True,False,4,10,300,10,10,10,19.1006407737732
